date,country,operator,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground
1946-06-09 10:30:00,Panama,U.S. Army Air Forces,Douglas C-54D-DC (DC-4),23.0,17.0,6.0,23.0,17.0,6.0,0.0
1946-06-09 13:15:00,Nigeria,Military -Royal Air Force,Douglas C-47 Dakota,18.0,12.0,6.0,18.0,12.0,6.0,0.0
1946-06-29 00:00:00,Off Malaya,Royal Air Force,Douglas C-47B,18.0,15.0,3.0,18.0,15.0,3.0,0.0
1946-06-29 00:00:00,France,Air France,Junkers Ju-52/3m,3.0,0.0,3.0,2.0,0.0,2.0,0.0
1946-07-09 20:10:00,Massachusetts,U.S. Army Air Forces,Boeing B17G,25.0,21.0,4.0,25.0,21.0,4.0,0.0
1946-07-11 00:00:00,Pennsylvania,Trans Continental and Western Air,Lockheed L-049 Constellation,6.0,0.0,6.0,5.0,0.0,5.0,0.0
1946-07-13 00:00:00,China,Central Air Transport,Curtiss C-46,49.0,47.0,2.0,13.0,11.0,2.0,0.0
1946-07-17 00:00:00,Ecuador,ANDESA,Curtiss C-46D-10-CU,30.0,27.0,3.0,30.0,27.0,3.0,0.0
1946-07-18 21:10:00,Kansas,U.S. Army Air Corps,Douglas C-47,13.0,10.0,3.0,13.0,10.0,3.0,0.0
1946-07-20 12:15:00,Off the Panama coast, (2) U.S. Army Air Forces,Boeing B-17G / Boeing B-17G,20.0,17.0,3.0,20.0,17.0,3.0,0.0
1946-07-25 00:00:00,Burma,Military -Royal Air Force,Douglas C-47 Dakota,22.0,18.0,4.0,22.0,18.0,4.0,0.0
1946-07-26 08:30:00,Mexico,Communicaciones Aereos de veracruz,Fairchild Pilgrim 100A,9.0,8.0,1.0,9.0,8.0,1.0,0.0
1946-08-07 00:00:00,Norway,British European Airways,Douglas C-47A-10-DK,16.0,11.0,5.0,3.0,0.0,3.0,0.0
1946-08-09 00:00:00,New Jersey,Atlantic Central Airlines,Lockheed 18-56 Lodestar,6.0,4.0,2.0,4.0,2.0,2.0,0.0
1946-08-14 00:00:00,Malta,BOAC,Douglas C-47A,5.0,0.0,5.0,1.0,0.0,1.0,0.0
1946-08-20 06:15:00,France,British Overseas Airways,Avro 691 Lancastrian 1,9.0,0.0,9.0,8.0,0.0,8.0,0.0
1946-08-21 04:19:00,Illinois,Trans Luxury Airlines,Douglas C-47-DL,25.0,22.0,3.0,2.0,0.0,2.0,0.0
1946-08-24 00:00:00,Egypt,Misrair,Avro Anson,9.0,8.0,1.0,6.0,5.0,1.0,0.0
1946-08-31 00:00:00,Canada,Queen Charlotte Airlines,Supermarine Stranraer (flying boat),7.0,3.0,4.0,7.0,3.0,4.0,0.0
1946-09-03 17:00:00,Denmark,Air France,Douglas DC-3 (C-53D-DO),22.0,17.0,5.0,22.0,17.0,5.0,0.0
1946-09-04 09:15:00,France,Air France,Douglas DC-3,26.0,21.0,5.0,20.0,18.0,2.0,1.0
1946-09-05 02:00:00,Nevada,Trans-Luxury Airlines,Douglas DC-3 (C-47-A5-DL),22.0,19.0,3.0,21.0,18.0,3.0,0.0
1946-09-07 00:00:00,Gambia,British South American Airways,Avro 685 York I,24.0,20.0,4.0,24.0,20.0,4.0,0.0
1946-09-07 00:00:00,Alaska,Mt. McKinley Airfreight,Douglas C-47A,4.0,2.0,2.0,4.0,2.0,2.0,0.0
1946-09-15 00:00:00,Canada,Royal Canadian Air Force,Douglas C-47A Dakota,21.0,18.0,3.0,21.0,18.0,3.0,0.0
1946-09-17 01:17:00,Belgium,Sabena,Douglas C-47-DL,7.0,4.0,3.0,1.0,0.0,1.0,0.0
1946-09-18 04:15:00,Newfoundland,Sabena,Douglas DC-4-1009,44.0,37.0,7.0,27.0,21.0,6.0,0.0
1946-09-19 00:00:00,Libya,Military -Royal Air Force,Avro Lancaster,25.0,19.0,6.0,25.0,19.0,6.0,0.0
1946-09-20 00:00:00,China,China National Aviation Corporation,Curtiss Wright C-46,28.0,25.0,3.0,28.0,25.0,3.0,0.0
1946-09-25 09:31:00,Near Hong Kong International Airport,Royal Air Force,Douglas C-47B-25-DK,19.0,14.0,5.0,19.0,14.0,5.0,0.0
1946-09-27 00:00:00,Scotland,Railway Air Service Ltd.,de Havilland 89A Dragon Rapide,7.0,5.0,2.0,7.0,5.0,2.0,0.0
1946-09-27 17:30:00,Brazil,Panair do Brasil,Douglas DC-3A-228D,25.0,22.0,3.0,25.0,22.0,3.0,0.0
1946-10-03 03:30:00,Newfoundland,American Overseas Airlines,Douglas C-54E-5-DO,39.0,31.0,8.0,39.0,31.0,8.0,0.0
1946-10-06 07:30:00,Malaya,Military -Royal Air Force,Avro 685 York 1,21.0,15.0,6.0,21.0,15.0,6.0,0.0
1946-10-07 11:20:00,The Netherlands,Royal Netherlands Naval Air Service,Fairey Firefly MK1,1.0,0.0,1.0,1.0,0.0,1.0,22.0
1946-10-08 04:33:00,Wyoming,United Air Lines,Douglas DC-4,41.0,37.0,4.0,2.0,2.0,0.0,0.0
1946-10-10 20:00:00,Morocco,Air Ocean,Junkers Ju-52/3m,16.0,11.0,5.0,16.0,11.0,5.0,0.0
1946-10-17 00:57:00,Wyoming,National Air Transport Services,Douglas DC-3,13.0,10.0,3.0,13.0,10.0,3.0,0.0
1946-10-17 00:00:00,India,Royal Air Force,Douglas C-47B,11.0,9.0,2.0,11.0,9.0,2.0,0.0
1946-10-23 00:00:00,Egypt,Socotra,Junkers JU-52/3m,24.0,22.0,2.0,1.0,1.0,0.0,0.0
1946-11-01 00:00:00,France,CTA Languedoc Roussillon,AAC-1 Toucan,27.0,24.0,3.0,23.0,20.0,3.0,0.0
